0,€/MWh,34.61,34.99,26.41,32.95,34.67,35.97,33
1,€/MWh,33.28,36.17,25.01,32.67,33.95,35.93,32.11
2,€/MWh,33.03,36.15,21.76,31.92,34.36,33.71,33
3,€/MWh,32.93,35.3,14.97,30.12,32.62,33.07,31.99
4,€/MWh,31.96,35.58,14.25,29.98,32.47,32.52,31.97
5,€/MWh,33.67,35.56,21.94,32.07,32.55,32.93,34.69
6,€/MWh,40.45,43.98,30.1,39.02,33.57,31.89,45.39
7,€/MWh,47.16,50.92,36.42,45.48,35.95,32.71,51.13
8,€/MWh,47.68,53.97,39.54,45.95,39.77,32.99,56.01
9,€/MWh,46.23,49.24,38.8,45.94,44.05,33.55,53.29
10,€/MWh,43.01,45.26,36.29,44.57,44.1,33.55,51.27
11,€/MWh,39.86,42.05,36.94,42.26,44.2,33.56,49.1
12,€/MWh,37.64,39.19,39.04,38.57,43.85,33.23,47.58
13,€/MWh,37.14,37.82,39.98,36.04,40.61,33.34,46.92
14,€/MWh,39.11,38.52,39.95,35.05,36.92,31.12,47.02
15,€/MWh,41.91,40.44,39.67,37.03,35.47,31.59,48.32
16,€/MWh,44.11,41.62,40.5,39.93,36.72,31.6,48.33
17,€/MWh,48.02,44.06,43.95,43.99,42.02,38.62,52.09
18,€/MWh,51.65,46.01,48.93,48.17,45.97,45.04,59.87
19,€/MWh,48.73,43.95,48.55,47.03,45.95,44.97,58
20,€/MWh,43.56,38.91,42.18,42.98,42.78,42.23,50
21,€/MWh,38.31,34.78,38.1,39.11,38.28,37.98,43.44
22,€/MWh,37.66,32.73,36.29,39.41,41.01,38.73,42.93
23,€/MWh,36.31,30.5,34.79,38.04,40.56,36,38.76
